会員No,得意先コード,得意先店舗コード
1,000335,0011
10,000053,0000
10,000053,0001
10,000053,0002
10,000053,0003
10,000053,0004
10,000053,0005
10,000053,0006
10,000053,0007
10,000053,0008
10,000053,0009
10,000053,0010
10,000053,0011
10,000053,0012
10,000053,0013
11,000053,0013
12,000053,0011
12,000053,0012
13,000053,0010
14,000053,0007
15,000053,0006
16,000053,0004
17,000053,0003
18,000053,0008
18,000053,0009
19,000053,0005
20,000053,0010
21,000211,0001
22,000211,0004
23,000211,0004
3,000335,0008
3,000335,0011
4,000337,0002
4,000337,0004
6,000060,0000
7,N00001,0000
8,000053,0001
8,114159,0001
8,114160,0001
8,114161,0001
9,000053,0002
