得意先コード,得意先店舗コード,所管企業コード,価格グループコード,価格グループ名,値引率
60,0,1,600000,島谷浩二,0
335,0,1,3350000,ﾊﾛｰｽﾞ,0
337,0,1,3370000,なかやま牧場,0
130030,0,1,1300300000,なかやま牧場 惣菜,0
135162,0,1,1351620000,ﾊﾛｰｽﾞ 水産,0
135163,0,1,1351630000,ﾊﾛｰｽﾞ 業務,0
135164,0,1,1351640000,ﾊﾛｰｽﾞ 市販,0
3,0,1,10000000001,Sランク,0
38,0,1,10000000001,Sランク,0
38,1,1,10000000001,Sランク,0
38,10,1,10000000001,Sランク,0
53,0,1,10000000001,Sランク,0
53,1,1,10000000001,Sランク,0
53,2,1,10000000001,Sランク,0
53,3,1,10000000001,Sランク,0
53,4,1,10000000001,Sランク,0
53,5,1,10000000001,Sランク,0
53,6,1,10000000001,Sランク,0
53,7,1,10000000001,Sランク,0
53,8,1,10000000001,Sランク,0
53,9,1,10000000001,Sランク,0
53,10,1,10000000001,Sランク,0
53,11,1,10000000001,Sランク,0
53,12,1,10000000001,Sランク,0
53,13,1,10000000001,Sランク,0
