商品コード,SKUコード,商品名,契約区分,規格１名,荷主コード,荷主名,産地コード,産地名,単位,在庫数,発注先企業コード,発注先部署コード,発注先部署名,発注先担当者コード,発注先担当者名,ＪＡＮコード,納品予定日_開始,納品予定日_終了,入荷日,ロット番号,ロット行,ロット枝,倉庫コード,特記事項,配送締切時間,配送日数,商談有無,値引有無
101215101,101215101,ﾀﾞｲｺﾝｹﾝ700g,1,1,,,99999,その他,3,5.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,,,,,,,,,0,0
101333300,101333300,ｷﾊﾀﾞﾛｲﾝ,1,不定貫,,,00047,沖縄県,4,0.00,01,110113,鮮魚  太物,89512,片山  法順,,2021/08/10 0:00:00,2021/08/10 0:00:00,,,,,,,,,0,0
101333316,101333316,養殖ﾎﾝﾏｸﾞﾛ(ｸﾛﾏｸﾞﾛ)ﾛｲﾝ,1,不定貫,,,00042,長崎県,4,0.00,01,110113,鮮魚  太物,89512,片山  法順,,2021/08/10 0:00:00,2021/08/10 0:00:00,,,,,,,,,0,0
101410020,21080800290101,ﾏｱｼﾞ,1,不定貫,115189,加瀬商店,00012,千葉県,4,30.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/09 0:00:00,2108080029,01,01,991010,巻網物　水氷120g,,,0,0
101410021,21080800220101,ﾏｱｼﾞ小,1,不定貫,116071,共和産業,00032,島根県,4,25.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/09 0:00:00,2108080022,01,01,991010,巻網物　水氷70/80g前後,,,0,0
101410022,21080800230101,ﾏｱｼﾞ中,1,不定貫,121021,島水,00032,島根県,4,150.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/09 0:00:00,2108080023,01,01,991010,巻網物　水氷27/29入,,,0,0
101410031,21080800350101,ﾏﾙｱｼﾞ小,1,不定貫,121129,昌和水産 本社,00040,福岡県,4,6.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/09 0:00:00,2108080035,01,01,991010,巻網物　水氷20/25入,,,0,0
101410051,21080800320101,ﾏｻﾊﾞ小,1,不定貫,121129,昌和水産 本社,00040,福岡県,4,197.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/09 0:00:00,2108080032,01,01,991010,巻網物　水氷,,,0,0
101410073,21080903990101,ﾏｲﾜｼ大,1,不定貫,120113,さ印さんりく,00001,北海道,4,7.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/10 0:00:00,2108090399,01,01,991010,棒受け網物,,,0,0
101410094,21080501150101,ｴﾃｶﾞﾚｲ(ｿｳﾊﾁ),1,不定貫,120113,さ印さんりく,00001,北海道,4,0.00,01,110111,鮮魚  青物,89507,桑田  恵一,,2021/08/10 0:00:00,2021/08/10 0:00:00,2021/08/06 0:00:00,2108050115,01,01,991010,6ｋ約１２尾,,,0,0
