商品コード,SKUコード,商品名,契約区分,規格１名,荷主コード,荷主名,産地コード,産地名,単位,在庫数,発注先企業コード,発注先部署コード,発注先部署名,発注先担当者コード,発注先担当者名,ＪＡＮコード,納品予定日_開始,納品予定日_終了,入荷日,ロット番号,ロット行,ロット枝,倉庫コード,特記事項,配送締切時間,配送日数,商談有無,値引有無
701890000,22091900420101,養殖アトランティックサｰモンセミドレス1尾/約4kg,1,不定貫 約4kg,121146,ｼｮｸﾘｭｰ,NOR,ﾉﾙｳｪｰ,3,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209190042,01,01,991010,,,,0,0
701800891,22091700560101,秋鮭フィｰレ5kg,1,1,123032,ぜんぎょれん食品,00001,北海道,1,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209170056,01,01,991010,,,,0,0
701001875,22091700570101,秋鮭フィｰレ傷5kg,1,1,123032,ぜんぎょれん食品,00001,北海道,1,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209170057,01,01,991010,,,,0,0
701000159,22091900450101,養殖アトランティックサｰモントリムC1枚/約1.6kg,1,不定貫 約1.6kg,114400,ｵｰｼｬﾝ貿易,NOR,ﾉﾙｳｪｰ,3,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209190045,01,01,991010,,,,0,0
701000158,22091900440101,養殖アトランティックサｰモントリムA1枚/約1.6kg,1,不定貫 約1.6kg,114400,ｵｰｼｬﾝ貿易,NOR,ﾉﾙｳｪｰ,3,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209190044,01,01,991010,,,,0,0
701000157,22091900430101,養殖アトランティックサｰモンセミドレス1尾/約5kg,1,不定貫 約5kg,121146,ｼｮｸﾘｭｰ,NOR,ﾉﾙｳｪｰ,3,1.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209190043,01,01,991010,,,,0,0
501800009,22092000700101,アオリイカムキ身1Kg,1,1,110016,安岐水産,IND,ｲﾝﾄﾞ,3,25.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209200070,01,01,991010,,,,0,0
501018974,22092000710101,アオリイカソｰメン1kg(500g×2),1,1,110016,安岐水産,,,3,10.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209200071,01,01,991010,,,,0,0
501013507,22092000770101,ボイルヒジキ1kg,1,1,144013,森屋食品,JPN,日本,3,20.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/21 0:00:00,2209200077,01,01,991010,,,,0,0
501013506,22091300660101,ボイル赤ニシ貝ムキ身(65g×12),1,1,110016,安岐水産,BGR,ﾌﾞﾙｶﾞﾘｱ,3,10.00,01,110116,鮮魚  特種,89181,土屋  伊佐夫,,2022/09/21 0:00:00,2022/09/21 0:00:00,2022/09/15 0:00:00,2209130066,01,01,991010,,,,0,0
