タグID,商品コード
000000754601,301800707
000000754601,701003158
000000754601,701800891
000000963901,301800466
000000963901,301800552
000000963901,301800553
000001202001,701000101
000001388501,701000686
000001009301,301431008
000001009301,301800224
000000661401,701002682
000000734201,501012634
000000969601,301451318
000000969601,301452069
000000969601,301484014
000000969601,301492001
000000969601,501012071
000000969601,701000345
000000969601,701000583
000000943401,301452060
000000943401,301452061
000000943401,301452062
000000943401,301452063
000001006101,701001150
000001006101,701050204
000001006101,701050205
000001006101,701050206
000001006101,701050207
000001006101,701050208
000001351701,301412069
000001351701,701002497
000001351701,701003088
000000834801,301650085
000001436901,301448015
000001436901,301471209
000001106401,501013622
000000510701,501013506
000000510701,501018938
000000369901,501013224
000000689501,303050751
000000080401,303035307
000000079601,501015033
000000079601,501800009
000000079601,705006102
000001041601,501013507
000000955301,501012618
000001007801,301484503
000001409801,301445081
000000836001,301412142
000000772901,301414014
000000772901,301414015
000000436901,701000157
000000436901,701000159
000000436901,701890000
000000523001,505085056
000000908201,301002644
000000039901,301800860
000000039901,301800862
000000039901,301800863
000000039901,505039659
000000515901,303042835
000000515901,303053511
000000515901,505073163
000000027101,501012071
000000027101,501012618
000000027101,501013976
000000542201,501012071
000000542201,501012618
000000542201,501013976
000000059301,701003088
000000153201,101000244
000000153201,301431008
000000154801,101410265
000000154801,301471209
000000171901,101410096
000000171901,301492001
000000171901,301800860
000000171901,701003158
000000009301,101410096
000000009301,701003158
000000028901,301800860
000000592101,301492001
000000185501,301484014
000000187301,301800863
000000042201,301800863
000000202301,701000686
000000259501,501013224
000000259501,701000157
000000259501,701000159
000000259501,701800891
000000259501,701890000
000000340901,701000157
000000340901,701000159
000000340901,701890000
000000420701,501013224
000000264401,101410052
000000264401,301412069
000000264401,301412142
000000264401,701002682
000000552401,101410052
000000552401,301412069
000000552401,301412142
000000552401,701002682
000000272601,701000345
000000272601,701001150
000000276001,301414014
000000276001,301414015
000000283901,101011122
000000356301,301800707
000000356301,301800862
000000555701,301800707
000000555701,301800862
000000458701,101830000
000000464201,303042835
000000464201,303053511
000000443601,303042835
000000443601,303053511
000000485301,301650085
000000508301,101011111
000000508301,101011155
000000508301,101011199
000000508301,301445081
000000508301,301448015
000000179301,101011155
000000179301,101011199
000000179301,301448015
000000533301,101410354
000000015701,101410354
000000541801,101410022
000000541801,701002497
000000545901,101333300
000000545901,101333316
000000545901,101333335
000000545901,101410002
000000191401,101333300
000000191401,101410002
000000225201,101333316
000000225201,101333335
000000553901,101602003
000000553901,101602005
000000553901,301484503
000000553901,701050204
000000553901,701050205
000000553901,701050206
000000553901,701050207
000000553901,701050208
000000591301,101410033
000000565301,101410033
000000007401,301451318
000000007401,505085056
000000007401,701000101
000000007401,701000583
000000037501,505085056
000000324101,301451318
000000324101,701000101
000000324101,701000583
000000613301,301452060
000000613301,301452061
000000613301,301452062
000000613301,301452063
000000613301,301452069
000000613301,501018974
000000613301,501800009
000000006401,501018974
000000006401,501800009
000000217201,303035307
000000217201,501015033
000000217201,505073163
000000217201,705006102
000000084701,705006102
000000454401,303035307
000000454401,501015033
000000454401,505073163
000000017201,501013506
000000017201,501018938
000000013601,501013506
000000013601,501018938
000000066201,501012634
000000543801,501012634
000000066401,303050751
000000279901,301002644
000000279901,301800224
000000566401,101800990
000000457501,101800990
000000254201,301800466
000000361101,301800552
000000361101,301800553
000000643301,301800552
000000643301,301800553
000000539701,501013507
000000472401,501013507
000000599001,501013622
000000128801,501013622
000000340101,101215101
000001412801,505039659
000000310001,505039659
000001414801,101000136
000000301601,101000136
000001418701,101011111
000001418701,101011199
000001418701,101830000
000001418701,301800707
000001418701,301800860
000001418701,301800862
000001418701,301800863
000001418701,303042835
000001418701,303053511
000001418701,501012071
000001418701,501012618
000001418701,501013224
000001418701,501013976
000001418701,701000157
000001418701,701000159
000001418701,701003158
000001418701,701800891
000001418701,701890000
000001416201,505039659
000001417401,101000136
000000550801,101333300
000000550801,101333316
000000550801,101333335
000000054201,501018974
000000054201,501800009
000000054201,505085056
000001315001,501013506
000001315001,501018938
000001314901,303050751
000000107801,505073163
000000107801,705006102
000000106601,303035307
000000106601,501015033
000001130601,301800466
000001130601,301800552
000001130601,301800553
000001130601,501013507
000001130601,501013622
000001335301,101215101
000001119601,101011122
000001119601,101800990
000001119601,301002644
000001119601,301650085
000001119601,301800224
000001119601,701050204
000001119601,701050205
000001119601,701050206
000001119601,701050207
000001119601,701050208
000001178601,101000136
000001178601,101011111
000001178601,101011155
000001178601,101011199
000001178601,101333300
000001178601,101333316
000001178601,101333335
000001178601,101410002
000001178601,101410022
000001178601,101410033
000001178601,101410052
000001178601,101410096
000001178601,101410265
000001178601,101410354
000001178601,101602003
000001178601,101602005
000001178601,101830000
000001178601,301412069
000001178601,301412142
000001178601,301431008
000001178601,301445081
000001178601,301448015
000001178601,301451318
000001178601,301452060
000001178601,301452061
000001178601,301452062
000001178601,301452063
000001178601,301452069
000001178601,301471209
000001178601,301484014
000001178601,301484503
000001178601,301492001
000001178601,301800707
000001178601,701000157
000001178601,701000159
000001178601,701000345
000001178601,701000686
000001178601,701001150
000001178601,701002497
000001178601,701002682
000001178601,701003088
000001178601,701800891
000001178601,701890000
000001306101,301414014
000001306101,301414015
000001306101,301800860
000001306101,301800862
000001306101,301800863
000001306101,303053511
000000046401,101000136
000000046401,101410052
000000046401,301412069
000000046401,301412142
000000046401,301451318
000000046401,301452060
000000046401,301452061
000000046401,301452062
000000046401,301452063
000000046401,301452069
000000046401,303035307
000000046401,501011038
000000046401,501011039
000000046401,501011040
000000046401,501012071
000000046401,501012710
000000046401,501013224
000000046401,501013801
000000046401,501013976
000000046401,501013993
000000046401,501015033
000000046401,501018974
000000046401,501800009
000000046401,505010662
000000046401,505039659
000000046401,505064931
000000046401,505073163
000000046401,505081927
000000046401,505082141
000000046401,505083250
000000046401,505085056
000000046401,701000101
000000046401,701000157
000000046401,701000159
000000046401,701000583
000000046401,701002682
000000046401,701800891
000000046401,701890000
000000046401,705006102
000000046501,101000244
000000046501,101011111
000000046501,101011122
000000046501,101011155
000000046501,101011199
000000046501,101215101
000000046501,101333300
000000046501,101333316
000000046501,101333335
000000046501,101410002
000000046501,101410022
000000046501,101410096
000000046501,101410265
000000046501,101410354
000000046501,101602003
000000046501,101602005
000000046501,101800990
000000046501,101830000
000000046501,301002644
000000046501,301414014
000000046501,301414015
000000046501,301431008
000000046501,301445081
000000046501,301448015
000000046501,301471209
000000046501,301484014
000000046501,301484503
000000046501,301492001
000000046501,301650085
000000046501,301800224
000000046501,301800466
000000046501,301800552
000000046501,301800553
000000046501,301800707
000000046501,301800860
000000046501,301800862
000000046501,301800863
000000046501,303042835
000000046501,303050751
000000046501,303053511
000000046501,501012618
000000046501,501012634
000000046501,501013506
000000046501,501013507
000000046501,501013622
000000046501,501018938
000000046501,701000345
000000046501,701000686
000000046501,701001150
000000046501,701002497
000000046501,701003088
000000046501,701003158
000000046501,701050204
000000046501,701050205
000000046501,701050206
000000046501,701050207
000000046501,701050208
000001404301,101011111
000001404301,101333300
000001404301,101333316
000001404301,101830000
000001404301,301800707
000001404301,301800860
000001404301,301800862
000001404301,301800863
000001404301,501012071
000001404301,501012618
000001404301,501013976
000001404301,701000157
000001404301,701003158
000001404301,701800891
000001404301,701890000
000001404401,101333335
000001404401,303042835
000001404401,303053511
000001404401,501013224
000001404401,701000159
000001378901,501011038
000001378901,501011039
000001378901,501011040
000001378901,505082141
000001378901,505083250
000001378901,505085056
000000512301,303035307
000000512301,705006102
000000000401,303042835
000000000401,303050751
000000000401,501015033
000000000401,505083250
000000000401,701003158
000000329501,501013976
000000329501,701000101
000000329501,701000583
000001264401,501012071
000001264401,501013224
000001264401,505064931
000001264401,505073163
000001194001,101011111
000001194001,101011199
000001194001,101333300
000001194001,101333316
000001194001,101830000
000001194001,301800707
000001194001,301800860
000001194001,301800862
000001194001,301800863
000001194001,501012071
000001194001,501012618
000001194001,501013976
000001194001,701000157
000001194001,701000159
000001194001,701003158
000001194001,701800891
000001194001,701890000
000001194101,101333335
000001194101,303042835
000001194101,303053511
000001194101,501013224
000001289901,501800009
000001095501,101800990
000001095501,301002644
000001095501,301800224
000001095501,501012634
000001095501,705006102
000000587801,303035307
000000587801,303050751
000000587801,501013506
000000587801,501015033
000000587801,501018938
000000940401,505073163
000001178701,101000136
000001178701,101011111
000001178701,101011122
000001178701,101011155
000001178701,101011199
000001178701,101333300
000001178701,101333316
000001178701,101333335
000001178701,101410002
000001178701,101410022
000001178701,101410033
000001178701,101410052
000001178701,101410096
000001178701,101410265
000001178701,101410354
000001178701,101602003
000001178701,101602005
000001178701,101800990
000001178701,101830000
000001178701,301002644
000001178701,301412069
000001178701,301412142
000001178701,301431008
000001178701,301445081
000001178701,301448015
000001178701,301451318
000001178701,301452060
000001178701,301452061
000001178701,301452062
000001178701,301452063
000001178701,301452069
000001178701,301471209
000001178701,301484014
000001178701,301484503
000001178701,301492001
000001178701,301650085
000001178701,301800224
000001178701,301800707
000001178701,701000157
000001178701,701000159
000001178701,701000345
000001178701,701000686
000001178701,701001150
000001178701,701002497
000001178701,701002682
000001178701,701003088
000001178701,701050204
000001178701,701050205
000001178701,701050206
000001178701,701050207
000001178701,701050208
000001178701,701800891
000001178701,701890000
000000741801,301414014
000000741801,301414015
000000741801,303035307
000000741801,303042835
000000741801,303050751
000000741801,303053511
000000741801,501012634
000000741801,501013622
000000741801,501015033
000000741801,505073163
000000741801,701000101
000000741801,701000583
000000741801,701003158
000000741801,705006102
000000748401,101000244
000000748401,301800466
000000748401,301800552
000000748401,301800553
000000748401,301800860
000000748401,301800862
000000748401,301800863
000000748401,501011038
000000748401,501011039
000000748401,501011040
000000748401,501012071
000000748401,501012618
000000748401,501012710
000000748401,501013224
000000748401,501013506
000000748401,501013507
000000748401,501013801
000000748401,501013976
000000748401,501013993
000000748401,501018938
000000748401,501018974
000000748401,501800009
000000748401,505010662
000000748401,505039659
000000748401,505064931
000000748401,505081927
000000748401,505082141
000000748401,505083250
000000748401,505085056
000001420501,101000136
000001420501,101011111
000001420501,101011122
000001420501,101011155
000001420501,101011199
000001420501,101333300
000001420501,101333316
000001420501,101333335
000001420501,101410002
000001420501,101410022
000001420501,101410033
000001420501,101410052
000001420501,101410096
000001420501,101410265
000001420501,101410354
000001420501,101602003
000001420501,101602005
000001420501,101800990
000001420501,101830000
000001420501,301002644
000001420501,301412069
000001420501,301412142
000001420501,301431008
000001420501,301445081
000001420501,301448015
000001420501,301451318
000001420501,301452060
000001420501,301452061
000001420501,301452062
000001420501,301452063
000001420501,301452069
000001420501,301471209
000001420501,301484014
000001420501,301484503
000001420501,301492001
000001420501,301650085
000001420501,301800224
000001420501,301800707
000001420501,701000157
000001420501,701000159
000001420501,701000345
000001420501,701000686
000001420501,701001150
000001420501,701002497
000001420501,701002682
000001420501,701003088
000001420501,701050204
000001420501,701050205
000001420501,701050206
000001420501,701050207
000001420501,701050208
000001420501,701800891
000001420501,701890000
000000742001,301414014
000000742001,301414015
000000742001,301800860
000000742001,301800862
000000742001,301800863
000000742001,303035307
000000742001,303042835
000000742001,303050751
000000742001,303053511
000000742001,501012634
000000742001,501015033
000000742001,505073163
000000742001,701000101
000000742001,701000583
000000742001,701003158
000000742001,705006102
000000828001,101000244
000000828001,501012618
000000828001,501013993
000000828001,505010662
000000828001,505039659
000000828001,505081927
000000742301,501011038
000000742301,501011039
000000742301,501011040
000000742301,501013801
000000742301,505064931
000000742301,505082141
000000742301,505083250
000000742301,505085056
000001178801,101000136
000001178801,101011111
000001178801,101011122
000001178801,101011155
000001178801,101011199
000001178801,101333300
000001178801,101333316
000001178801,101333335
000001178801,101410002
000001178801,101410022
000001178801,101410033
000001178801,101410052
000001178801,101410096
000001178801,101410265
000001178801,101410354
000001178801,101602003
000001178801,101602005
000001178801,101800990
000001178801,101830000
000001178801,301002644
000001178801,301412069
000001178801,301412142
000001178801,301431008
000001178801,301445081
000001178801,301448015
000001178801,301451318
000001178801,301452060
000001178801,301452061
000001178801,301452062
000001178801,301452063
000001178801,301452069
000001178801,301471209
000001178801,301484014
000001178801,301484503
000001178801,301492001
000001178801,301650085
000001178801,301800224
000001178801,301800707
000001178801,701000157
000001178801,701000345
000001178801,701000686
000001178801,701001150
000001178801,701002497
000001178801,701002682
000001178801,701003088
000001178801,701050204
000001178801,701050205
000001178801,701050206
000001178801,701050207
000001178801,701050208
000001178801,701800891
000001178801,701890000
000000827901,101000244
000000827901,501012618
000000827901,501013993
000000827901,505010662
000000827901,505039659
000000827901,505081927
000000742101,301414014
000000742101,301414015
000000742101,301800860
000000742101,301800862
000000742101,301800863
000000742101,303035307
000000742101,303042835
000000742101,303050751
000000742101,303053511
000000742101,501012634
000000742101,501015033
000000742101,505073163
000000742101,701000101
000000742101,701000583
000000742101,701003158
000000742101,705006102
