価格グループコード,商品コード,SKUコード,掲載開始日,掲載期限,定価,単価,特記事項,規格１名,産地略称
00000530000,101000136,22090100850101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,750.00,3ｋ,不定貫,北海道
00000600000,101000136,22090100850101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,750.00,3ｋ,不定貫,北海道
00002110000,101000136,22090100850101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,750.00,3ｋ,不定貫,北海道
00003370000,101000136,22090100850101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,750.00,3ｋ,不定貫,北海道
10000000001,101000136,22090100850101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,750.00,3ｋ,不定貫,北海道
10000000002,101000136,22090100850101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,750.00,3ｋ,不定貫,北海道
10000000003,101000136,22090100850101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,750.00,3ｋ,不定貫,北海道
00000530000,101000244,22090200830101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1400.00,,不定貫,その他
00000600000,101000244,22090200830101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1400.00,,不定貫,その他
00002110000,101000244,22090200830101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1400.00,,不定貫,その他
00003370000,101000244,22090200830101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1400.00,,不定貫,その他
10000000001,101000244,22090200830101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1400.00,,不定貫,その他
10000000002,101000244,22090200830101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1400.00,,不定貫,その他
10000000003,101000244,22090200830101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1400.00,,不定貫,その他
00000530000,101011111,22090204090101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00000600000,101011111,22090204090101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00002110000,101011111,22090204090101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00003370000,101011111,22090204090101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
10000000001,101011111,22090204090101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,その他
10000000002,101011111,22090204090101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,その他
10000000003,101011111,22090204090101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,未定,,不定貫,その他
00000530000,101011122,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2000.00,,不定貫,その他
00000600000,101011122,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2000.00,,不定貫,その他
00002110000,101011122,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2000.00,,不定貫,その他
00003370000,101011122,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2000.00,,不定貫,その他
10000000001,101011122,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2000.00,,不定貫,その他
10000000002,101011122,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2000.00,,不定貫,その他
10000000003,101011122,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,未定,,不定貫,その他
00000530000,101011155,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2050.00,,不定貫,その他
00000600000,101011155,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2050.00,,不定貫,その他
00002110000,101011155,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2050.00,,不定貫,その他
00003370000,101011155,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2050.00,,不定貫,その他
10000000001,101011155,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2050.00,,不定貫,その他
10000000002,101011155,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2050.00,,不定貫,その他
10000000003,101011155,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,未定,,不定貫,その他
00000530000,101011199,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00000600000,101011199,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00002110000,101011199,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
00003370000,101011199,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,その他
10000000001,101011199,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,その他
10000000002,101011199,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,その他
10000000003,101011199,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,未定,,不定貫,その他
10000000003,101215101,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,284.00,,1,その他
00000530000,101333300,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
00000600000,101333300,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
00002110000,101333300,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
00003370000,101333300,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
10000000001,101333300,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
10000000002,101333300,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
10000000005,101333300,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3000.00,,不定貫,ｲﾝﾄﾞﾈｼｱ
00000530000,101333316,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,6500.00,,不定貫,長崎県
00000600000,101333316,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,6500.00,,不定貫,長崎県
00002110000,101333316,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,6500.00,,不定貫,長崎県
00003370000,101333316,00000000000001,2022/09/03 00:00:00,2022/09/03 23:00:00,0,6500.00,,不定貫,長崎県
10000000001,101333316,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,6500.00,,不定貫,長崎県
10000000002,101333316,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,6500.00,,不定貫,長崎県
10000000005,101333316,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,6500.00,,不定貫,長崎県
10000000004,101333335,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3330.00,,500ｇ,-
10000000006,101333335,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3296.00,,500ｇ,-
10000000007,101333335,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3163.00,,500ｇ,-
10000000008,101333335,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2997.00,,500ｇ,-
10000000004,101410002,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,4440.00,,柵１ｋｇ,-
10000000006,101410002,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,4395.00,,柵１ｋｇ,-
10000000007,101410002,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,4218.00,,柵１ｋｇ,-
10000000008,101410002,00000000000001,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3996.00,,柵１ｋｇ,-
00000530000,101410022,22090107840101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3300.00,巻網物下氷約19入,約3kg　約17/19入,島根県
00000600000,101410022,22090107840101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3400.00,巻網物下氷約19入,約3kg　約17/19入,島根県
00002110000,101410022,22090107840101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3300.00,巻網物下氷約19入,約3kg　約17/19入,島根県
00003370000,101410022,22090107840101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,3300.00,巻網物下氷約19入,約3kg　約17/19入,島根県
10000000001,101410022,22090107840101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3300.00,巻網物下氷約19入,約3kg　約17/19入,島根県
10000000002,101410022,22090107840101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3400.00,巻網物下氷約19入,約3kg　約17/19入,島根県
10000000003,101410022,22090107840101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,3400.00,巻網物下氷約19入,約3kg　約17/19入,島根県
00000530000,101410033,22090201030101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1900.00,巻網物下氷,約3kg　約9/10入,三重県
00000600000,101410033,22090201030101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2000.00,巻網物下氷,約3kg　約9/10入,三重県
00002110000,101410033,22090201030101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1900.00,巻網物下氷,約3kg　約9/10入,三重県
00003370000,101410033,22090201030101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,1800.00,巻網物下氷,約3kg　約9/10入,三重県
10000000001,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1900.00,巻網物下氷,約3kg　約9/10入,三重県
10000000002,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2000.00,巻網物下氷,約3kg　約9/10入,三重県
10000000003,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2000.00,巻網物下氷,約3kg　約9/10入,三重県
10000000004,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,2000.00,巻網物下氷,約3kg　約9/10入,三重県
10000000006,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1980.00,巻網物下氷,約3kg　約9/10入,三重県
10000000007,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1900.00,巻網物下氷,約3kg　約9/10入,三重県
10000000008,101410033,22090201030101,2022/09/02 00:00:00,2022/09/02 22:00:00,0,1800.00,巻網物下氷,約3kg　約9/10入,三重県
00000530000,101410052,22090105160101,2022/09/03 00:00:00,2022/09/03 23:00:00,0,2100.00,定置網物水氷,約5㎏　8入,岩手県
