タグID,タグ名
000000754601,北海道
000001382601,青森県
000000963901,岩手県
000000912101,宮城県
000001231401,秋田県
000000946301,山形県
000001223801,福島県
000001271501,茨城県
000001077801,栃木県
000001257801,群馬県
000000819601,埼玉県
000000778601,千葉県
000001058401,東京都
000001208601,神奈川県
000001034801,新潟県
000000921601,富山県
000001202001,石川県
000001215001,福井県
000000950301,山梨県
000001363901,長野県
000000955501,岐阜県
000001388501,静岡県
000001009301,愛知県
000000661401,三重県
000001140901,滋賀県
000000707301,京都府
000000882801,大阪府
000000734201,兵庫県
000000895201,奈良県
000000803301,和歌山県
000001422301,鳥取県
000000969601,島根県
000000959801,岡山県
000000983601,広島県
000000943401,山口県
000001000401,徳島県
000001398901,香川県
000001006101,愛媛県
000001407301,高知県
000001216901,福岡県
000000720701,佐賀県
000001351701,長崎県
000001149701,熊本県
000000834801,大分県
000000916101,宮崎県
000001436901,鹿児島県
000001106401,沖縄県
000000810501,四国
000000696501,九州
000000764101,北海道札幌市
000000757401,北海道函館市
000000761301,北海道小樽市
000000763601,北海道旭川市
000000760901,北海道室蘭市
000000772201,北海道釧路市
000000761801,北海道帯広市
000000758301,北海道北見市
000000760101,北海道夕張市
000000761601,北海道岩見沢市
000000769601,北海道網走市
000000768001,北海道留萌市
000000770901,北海道苫小牧市
000000769201,北海道稚内市
000000769901,北海道美唄市
000000770601,北海道芦別市
000000765401,北海道江別市
000000771801,北海道赤平市
000000769401,北海道紋別市
000000759801,北海道士別市
000000759301,北海道名寄市
000000755201,北海道三笠市
000000764701,北海道根室市
000000758401,北海道千歳市
000000767401,北海道滝川市
000000768701,北海道砂川市
000000765201,北海道歌志内市
000000766901,北海道深川市
000000761001,北海道富良野市
000000768101,北海道登別市
000000762701,北海道恵庭市
000000756801,北海道伊達市
000000758001,北海道北広島市
000000768601,北海道石狩市
000000758101,北海道北斗市
000000762501,北海道当別町
000000763401,北海道新篠津村
000000764401,北海道松前町
000000769001,北海道福島町
000000768501,北海道知内町
000000763901,北海道木古内町
000000755101,北海道七飯町
000000773501,北海道鹿部町
000000764801,北海道森町
000000757201,北海道八雲町
000000772401,北海道長万部町
000000765501,北海道江差町
000000755301,北海道上ﾉ国町
000000758901,北海道厚沢部町
000000756401,北海道乙部町
000000760601,北海道奥尻町
000000756701,北海道今金町
000000754801,北海道せたな町
000000761701,北海道島牧村
000000761101,北海道寿都町
000000773601,北海道黒松内町
000000771101,北海道蘭越町
000000754901,北海道ﾆｾｺ町
000000768401,北海道真狩村
000000767901,北海道留寿都村
000000759501,北海道喜茂別町
000000756501,北海道京極町
000000757101,北海道倶知安町
000000757301,北海道共和町
000000761501,北海道岩内町
000000759101,北海道古宇郡泊村
000000768901,北海道神恵内村
000000769301,北海道積丹町
000000759201,北海道古平町
000000756601,北海道仁木町
000000757001,北海道余市町
000000771701,北海道赤井川村
000000758601,北海道南幌町
000000760501,北海道奈井江町
000000755701,北海道上砂川町
000000767601,北海道由仁町
000000772501,北海道長沼町
000000764601,北海道栗山町
000000763801,北海道月形町
000000766801,北海道浦臼町
000000763201,北海道新十津川町
000000760701,北海道妹背牛町
000000769101,北海道秩父別町
000000772801,北海道雨竜町
000000758201,北海道北竜町
000000766101,北海道沼田町
000000773301,北海道鷹栖町
000000764301,北海道東神楽町
000000762601,北海道当麻町
000000765301,北海道比布町
000000762801,北海道愛別町
000000755601,北海道上川町
000000764201,北海道東川町
000000770201,北海道美瑛町
000000755501,北海道上富良野町
000000755901,北海道中富良野町
000000758501,北海道南富良野町
000000758701,北海道占冠村
000000759401,北海道和寒町
000000757901,北海道剣淵町
000000755801,北海道下川町
000000770101,北海道美深町
000000773001,北海道音威子府村
000000756001,北海道中川町
000000761901,北海道幌加内町
000000759701,北海道増毛町
000000761201,北海道小平町
000000770801,北海道苫前町
000000770301,北海道羽幌町
000000757501,北海道初山別村
000000772001,北海道遠別町
000000760401,北海道天塩町
000000767501,北海道猿払村
000000766501,北海道浜頓別町
000000756301,北海道中頓別町
